ts	phase	decision	why	evidence	result
2026-09-17T01:14:00Z	audit-fix	Lower standalone authored rules through a complete public SandboxPolicy	The rule-only adapter previously bypassed document-level intrinsic validation, allowing present-empty MCP versions to be normalized before rejection	crates/openshell-policy/src/lib.rs; provider boundary regression test	provider imports and draft edits now apply the same authored validation as complete policy updates
2026-09-17T01:32:00Z	verification	Open a draft PR with production Rust checks green and fixture/curated-SDK failures explicit	The implementation is a usable architecture prototype, but converting 174 Rust test fixtures and the curated Go model is separate mechanical work that should not be hidden behind a green claim	cargo check --workspace; cargo clippy --workspace --lib --bins; cargo test --workspace --no-run; mise run go:ci	production Rust and focused boundary tests pass; all-target Rust and curated Go remain draft blockers
2026-09-18T04:05:12Z	compatibility	Supersede the temporary YAML compatibility codec with strict descriptor-driven protobuf-shaped YAML	The team chose one language-neutral authored shape and accepted breaking scalar and shorthand spellings	crates/openshell-policy-schema/src/generated.rs	bounded YAML decodes directly through the openshell.policy.v1 descriptor without a rewrite shim
2026-09-18T04:05:12Z	presence	Supersede present-empty MCP versions rejection; omitted null and empty select the same pinned default	Proto3 repeated fields do not preserve presence and policy YAML now follows protobuf semantics	proto/policy.proto; crates/openshell-core/src/mcp.rs	MCP versions is a repeated string and all absence-equivalent shapes materialize the default
2026-09-18T04:05:12Z	persistence	Supersede the clean-database requirement by preserving internal durable sandbox and provider-profile wire shapes	The public schema belongs at API and file boundaries; durable gateway state remains an internal implementation detail	crates/openshell-server/proto/storage.proto; crates/openshell-server/src/storage_proto.rs	existing database rows decode without a one-time migration while API reads project to public messages
2026-09-18T04:05:12Z	sdk	Remove runtime-only authority fields from the curated Go policy model and generate openshell.policy.v1 bindings	SDK callers must not be able to author advisor or provider-derived provenance	sdk/go/openshell/v1/types/network_policy.go; sdk/go/proto/policyv1/policy.pb.go	Go API models the public matcher oneofs recursive parameters tool matcher and MCP body limit
2026-09-18T05:05:00Z	canonicalization	Give scalar port and repeated ports spellings one internal policy identity	The public proto exposes both historical fields, while hashes, history deduplication, and size enforcement require equivalent authored policies to lower identically	crates/openshell-policy/src/lib.rs	validated policies materialize ports and retain the first effective port in the scalar field
2026-09-18T05:05:00Z	limits	Measure policy size after lowering the public message to its canonical internal representation	Compact public protobuf spellings must not bypass the policy limit when defaults and normalized fields expand internally	crates/openshell-server/src/grpc/validation.rs	boundary-size tests cover omitted empty and explicit MCP defaults at and above the limit
2026-09-18T05:05:00Z	providers	Treat provider-profile protobuf messages from every source as fallible authored input	External interceptors and stored user profiles can supply malformed policy fields; catalog construction must report a failed precondition instead of panicking	crates/openshell-server/src/provider_profile_sources.rs	malformed MCP versions remain unchanged through normalization and fail catalog validation
2026-09-18T05:20:00Z	main-merge	Keep main's explicit L7 append target and express its binaries and rule payloads with the public policy proto	The target closes an authorization ambiguity and belongs to the external UpdateConfig contract alongside its authored payload	proto/openshell.proto; crates/openshell-cli/src/policy_update.rs; crates/openshell-server/src/grpc/policy.rs	CLI and Go SDK send public target binaries and public allow or deny rules; the gateway lowers them before merge
2026-09-18T05:20:00Z	storage	Persist provider_attachment_epoch in the gateway-private sandbox wire message	Main added the field to SandboxSpec and dropping it during public-to-internal storage conversion would break provider readiness generation tracking	crates/openshell-server/proto/storage.proto; crates/openshell-server/src/storage_proto.rs	old rows decode with an empty epoch and new rows round-trip it without exposing internal policy fields
2026-09-18T05:54:27Z	strict-yaml	Reject YAML mapping keys that are not strings before ProtoJSON decoding	Noyalib intentionally stringifies scalar mapping keys, which would otherwise turn numeric, boolean, or null keys into different authored data	crates/openshell-policy-schema/src/generated.rs	bounded parsing is followed by a CST key check; quoted scalar-like strings remain valid
2026-09-18T05:54:27Z	limits	Apply the 256 KiB canonical policy limit to every mutation path	Create already enforced the limit, but full replacement, global replacement, and incremental merge could persist oversized policies	crates/openshell-server/src/grpc/policy.rs; crates/openshell-server/src/grpc/validation.rs	all replacement and merge paths reject oversized canonical policies with INVALID_ARGUMENT and a request-specific field path
2026-09-18T05:54:27Z	startup	Keep an invalid baked image policy fail-closed and repairable through the gateway	Silently substituting a fallback would weaken image restrictions, while terminating immediately would prevent an operator repair before first activation	crates/openshell-supervisor/src/lib.rs	the supervisor reports rejected admission, does not launch, and accepts a later valid gateway policy
2026-09-19T03:55:57Z	main-merge	Merged current main while preserving public policy types at API boundaries	Main changed sandbox reference fields and endpoint enums in the same code, so conflict resolution kept its naming and lifecycle behavior while converting only policy payloads	merge origin/main; cargo check targeted crates; storage schema inventory test	merge compiles; reviewed schema fingerprints updated and focused test passes
2026-09-19T04:59:15Z	contract	Reserve public endpoint tag 2 and the removed port name while retaining repeated ports at tag 9	Review builds already exposed the repeated field at tag 9; reserving the removed scalar slot prevents accidental source or wire reuse without preserving a legacy YAML shorthand	proto/policy.proto; generated SDK descriptors; API review	The authored contract exposes only a nonempty unique ports list and tag 2 cannot be reused
2026-09-19T04:59:15Z	validation	Use centrally vendored buf.validate annotations with official Go TypeScript and Python runtimes and exact-pinned community Rust reflection validation	All generators need one reproducible schema source and the gateway must enforce the same portable rules even though Buf has no official Rust runtime	proto/buf/validate/validate.proto; openshell-policy-schema; SDK manifests and tests	Portable rule IDs and constraints are validated at each supported language boundary; contextual semantics remain in openshell-policy
2026-09-19T04:59:15Z	semantics	Treat omitted and empty authored binaries as matching no executable while retaining L7RuleTarget.any_binary only as an incremental-update scope selector	Runtime enforcement already denies empty binary scopes and the public complete policy has no arbitrary-binary authority state	authored boundary regression test; policy docs; generate-sandbox-policy skill	Public conversion and guidance agree that empty binaries grant no access; internal merge containment behavior is not redesigned in this PR
2026-09-19T04:59:16Z	persistence	Keep PolicyDocument exclusively public and lower it to the existing internal SandboxPolicy before composition or storage	The public contract must not expose derived authority and existing durable rows must remain decodable without migration	architecture/gateway.md; storage schema inventory fingerprint; gateway conversion tests	Public and durable descriptor closures are reviewed independently and stored policy wire data is unchanged
2026-09-19T06:10:37Z	e2e-fixture	Derive a test-only community image whose embedded policy uses the new public ports list	The currently published community image predates this breaking authored contract; accepting its singular port in production would reintroduce the forbidden compatibility shim	e2e/docker/Dockerfile.policy-document-community-base; e2e/with-docker-gateway.sh	Docker E2E exercises the new contract while the production parser remains strict
2026-09-19T06:10:37Z	persistence	Decode every durable sandbox row through the private storage adapter	StoredSandbox intentionally embeds the internal policy schema and cannot be decoded as the public API Sandbox even where outer tags happen to overlap	crates/openshell-server/src/compute/provisioning_deadline.rs; crates/openshell-server/src/storage_proto.rs	Provisioning-deadline scans preserve effective policy fields and a regression test rejects raw public decoding
2026-09-19T06:10:37Z	sdk	Project supervisor policies explicitly at the Go SDK response boundary	Internal enum wire values matcher normalization and MCP body-limit storage are not wire-compatible with the authored string and message fields; marshal-unmarshal casting could silently erase policy semantics	sdk/go/openshell/v1/internal/converter/policy.go; converter regression tests	The curated SDK receives canonical public ports modes matchers and MCP config while runtime authority markers remain internal
2026-09-19T06:17:35Z	sdk	Project GetSandboxConfig policies onto PolicyDocument in the curated TypeScript client	The shared supervisor RPC necessarily transports internal effective policy but the curated public SDK must not return that message or its derived authority markers	sdk/typescript/src/client.ts; config projection test	TypeScript now matches the Go curated boundary including modes ports MCP tool parameters and body limits
2026-09-19T06:17:35Z	strict-yaml	Use protobuf descriptors rather than field spelling to identify google.protobuf.Struct null data	A structural check for any key named config could misclassify an ordinary policy map entry and let typed null silently become field absence	crates/openshell-policy-schema/src/generated.rs; deceptive map-key regression test	Null remains valid only below the actual middleware Struct field and is rejected everywhere else in the typed contract
2026-09-19T06:24:06Z	python-sdk	Ship the generated validation descriptors and constrain Protobuf to the supported 6.x runtime	The clean wheel otherwise omitted an explicit verification guard and Protovalidate 1.0 fails against Protobuf 7 descriptor API changes	tasks/scripts/verify-python-wheel.py; isolated Python 3.11 wheel install smoke test	The wheel contains PolicyDocument and buf.validate modules and validates with its resolver-selected Protobuf 6 runtime
2026-09-19T06:36:44Z	follow-up	Defer the contradictory internal any-binary merge semantics to issue #3476	Changing merge, advisor, CLI, and runtime authorization together is a separate behavioral decision; this PR only defines the new authored contract and documents its observed deny behavior	https://github.com/NVIDIA/OpenShell/issues/3476	The public policy stays fail-closed while the existing internal inconsistency has an explicit cross-component remediation issue
2026-09-19T06:48:30Z	validation	Validate standalone incremental L7 fragments with the same portable annotations as complete PolicyDocument payloads	Incremental update messages reuse public L7 rules and binary selectors but do not contain a complete policy root, so root-only validation would let callers bypass required oneofs and string bounds	openshell-policy-schema fragment validators; openshell-policy lowering; server ingress; Go SDK converter tests	Direct API fragments now fail the same Protovalidate constraints before contextual lowering and merge validation
2026-09-19T07:14:05Z	boundary-hardening	Validate complete provider and merged-policy documents before persistence, safely project JavaScript prototype-shaped parameter keys, and canonicalize legacy set-valued storage fields	Final independent review found that per-fragment validation missed aggregate limits, TypeScript object inheritance could erase untrusted map keys, and stricter public uniqueness rules could reject status-only rewrites of older equivalent records	provider mixed-batch and 1025-rule regressions; TypeScript __proto__/constructor regression; sandbox and provider durable rewrite regressions	All write paths now fail before partial persistence, SDK projection retains every own key without prototype mutation, and legacy duplicate ports or matcher alternatives preserve their enforcement meaning
2026-09-19T07:26:31Z	build	Add protobuf to the Nix development shell	The pinned Rust Protovalidate runtime compiles its bundled constraint descriptor at build time; mise already provides protoc but the multi-architecture Rust CI shell did not	x86_64-linux Branch Checks lint failure; prost-protovalidate-types 0.6.0 build script; mise and flake tool inventories	Local and Nix-backed Rust builds now supply the same required descriptor compiler without changing runtime behavior
2026-09-19T07:56:21Z	e2e-fixture	Adapt published community-image fixtures at the backend test boundary without accepting legacy YAML in production	The external base image still embeds singular port fields; container-backed suites can derive and import a corrected image while VM and tmachine lifecycle suites can select an explicit minimal PolicyDocument	e2e Dockerfile and Docker Podman Kubernetes launchers; VM policy fixture; tmachine conformance environment	Image-policy discovery remains covered on container backends, registry-only suites remain deterministic, and the strict authored contract is unchanged
2026-09-19T08:21:32Z	e2e-filesystem-baseline	Retain the community base image filesystem Landlock and process baseline in explicit VM and tmachine fixtures	A structurally valid empty policy correctly denied the shell and sandbox paths needed by backend lifecycle conformance; relaxing production parsing would weaken the new contract	remote VM and tmachine Permission denied diagnostics; local Docker external-driver lifecycle with the explicit policy	Registry-independent suites can execute their existing lifecycle checks while network access remains denied unless a test supplies a purpose-built policy
